School,SchoolID,first_name,last_name,gender,OEN,Student Grade Level,Enrollment Status,Reporting Period,Resp,Ind Work,Init,Org,Coll,Self Regulation,Read,Write,Oral Comm,Media Lit,Listen French ,Speak French ,Read French ,Write French,Num Sense Numeration,Meas,Geom and Spatial,Patt and Alg,Data Mgt,Science and Tech,Hist,Geog,Soc Studies,Health,Phys Ed,Dance,Drama,Music,Vis Arts
3rd Street Elementary School,7980,Haroun,Labbey,Male,379748365,3,0,R1,E,G,G,E,G,G,B-,B,B-,B,,,,,B+,B+,,B+,A-,B+,95,51,B,B,B-,B,B-,B,A
3rd Street Elementary School,7980,Torrence,Reyner,Male,701024680,5,0,R1,G,G,G,G,G,G,B,B,B-,B,A-,B+,A-,,D-,D-,D-,D,C-,B,63,63,C+,B-,C+,,B+,B-,A-
3rd Street Elementary School,7980,Selene,Hagston,Female,734136673,4,0,R1,E,E,G,E,G,G,C-,C+,B,B-,C-,D-,,,B-,B+,,B+,A-,B-,65,39,A-,A-,B-,,B,B-,B+
3rd Street Elementary School,7980,Amory,Leyzell,Male,276956422,3,0,R1,S,S,S,S,G,S,B-,C,C+,C+,,,,,B-,C,,C-,C,C,67,60,C,B-,B-,B,B,B-,B-
3rd Street Elementary School,7980,Nichole,Antrag,Male,797900485,5,0,R1,S,S,G,G,S,S,B-,B-,B,B-,D,D,C,,C,C+,,C+,B+,B,93,66,C+,B,B+,,B+,C+,C+
3rd Street Elementary School,7980,Kippie,Cresswell,Female,153034396,5,0,R1,S,G,S,S,S,S,C+,B-,C,B-,C,D,C+,,C+,B-,,C+,B-,C+,58,66,C,C,C+,,C+,B-,B
3rd Street Elementary School,7980,Latisha,Whitmell,Female,412959899,2,0,R1,G,G,G,S,G,S,A,A-,B+,A-,,,,,A,A-,,A,A,B-,70,51,B+,A-,B+,,B,B,B
3rd Street Elementary School,7980,Ulrich,Ivery,Male,373761012,1,0,R1,G,S,G,G,G,S,D,C-,C,C+,,,,,C,C,C,B-,C,C+,80,52,B-,C+,A,A-,,B-,B-
3rd Street Elementary School,7980,Jabez,Longstreeth,Male,113331009,8,0,R1,S,S,S,S,S,N,62,73,63,70,I,I,I,I,54,,65,58,58,50,82,61,,70,65,,55,65,57
3rd Street Elementary School,7980,Freddie,Stoyell,Female,706847407,5,0,R1,E,E,S,G,E,S,B-,B,B-,B-,B-,C,B-,,B-,B+,,C,B-,B,56,73,C+,B-,B+,,B-,B-,B+
3rd Street Elementary School,7980,Hamilton,Spillman,Male,453694852,6,0,R1,S,G,S,G,G,S,B-,B-,C+,A,C,C-,B-,B-,B-,D+,,A,A-,B-,64,57,C+,B+,B,B+,,B-,B
3rd Street Elementary School,7980,Sibley,Piaggia,Female,193456986,1,0,R1,G,S,S,G,G,G,B-,B,B-,B+,,,,,B,B,B-,B-,B,B-,67,84,B,B-,B,,C+,B,B
3rd Street Elementary School,7980,Marlon,Piddington,Male,251066640,5,0,R1,E,E,G,G,E,E,A-,A-,B+,A-,C,B-,A-,,A,B-,,A-,B+,B+,80,50,A,B,A-,,B,B,A-
3rd Street Elementary School,7980,Clovis,Moyne,Female,527162666,2,0,R1,G,G,N,G,G,N,A,C+,B+,B+,,,,,A-,A,,A-,A,A,73,59,B-,B,B+,,B-,B,B
3rd Street Elementary School,7980,Wynn,Andreutti,Male,688750778,3,0,R1,S,S,G,G,G,G,B,B-,C,B,,,,,B+,B,,B,B,B-,86,95,B,A-,B-,,B,B,A-
3rd Street Elementary School,7980,Kermy,McIlriach,Male,781365827,6,0,R1,E,E,G,G,E,E,B,B+,B+,B,A,B-,B,B-,B+,A-,,A-,B+,A-,92,74,B,B,B-,A-,,B,A-
3rd Street Elementary School,7980,Farris,Medd,Male,402501439,8,0,R1,N,N,N,S,G,N,73,73,68,75,63,68,52,I,78,I,,78,75,68,61,40,,68,73,,65,,68
3rd Street Elementary School,7980,Tracy,Riggott,Female,373583598,4,0,R1,S,N,N,N,S,N,I,I,C-,C,D-,I,,,D-,D,D,I,I,C-,47,47,C-,D+,D-,,I,I,D+
3rd Street Elementary School,7980,Brinna,Bussons,Female,371526205,8,0,R1,S,N,S,S,S,S,60,61,75,50,66,60,67,59,80,,66,64,57,51,54,53,,70,70,,65,80,79
3rd Street Elementary School,7980,Agretha,Lapre,Female,425034914,8,0,R1,E,E,E,E,E,E,93,91,80,90,91,84,88,83,92,,100,94,86,82,96,96,,80,85,,80,90,93
3rd Street Elementary School,7980,Elmira,Grigorini,Female,436265614,4,0,R1,G,G,E,G,G,G,C+,C,B-,B+,A-,A-,,,C,C+,B,B,B-,B,73,71,B,B,B+,,A-,B,B+
3rd Street Elementary School,7980,Galvin,Revie,Male,391600750,5,0,R1,G,E,E,G,G,G,A-,B,B,B+,A-,A-,A-,,A-,A-,A-,A-,A-,A-,39,86,A-,B-,A-,,B+,B,B
3rd Street Elementary School,7980,Dorolice,Pitherick,Female,497592201,2,0,R1,E,E,E,E,E,E,A+,B+,B-,A+,,,,,A+,A-,A+,A+,A+,A,74,62,A+,C+,B+,,B-,B,B
3rd Street Elementary School,7980,Skipper,Goranov,Male,638190639,2,0,R1,E,E,E,E,G,E,C+,B,A,B+,,,,,A,A-,A+,A+,A-,B+,67,52,A,C+,B+,,B,B+,B
3rd Street Elementary School,7980,Cyndy,Romer,Female,690516521,4,0,R1,E,E,E,E,G,E,A,A-,A-,C-,B+,B-,,,A-,A,,A-,A-,B-,52,100,A-,A,A-,,B,B+,B
3rd Street Elementary School,7980,Isabel,Girardet,Female,440643724,6,0,R1,N,S,S,N,N,N,C+,B-,B-,C+,D+,I,I,I,C+,B-,,C+,B-,C,96,60,D,C-,B-,,B-,C-,B-
3rd Street Elementary School,7980,Iris,Beazer,Female,824785748,2,0,R1,G,S,G,G,G,G,R,R,B,C,,,,,C,C,C,C,,B,78,90,C,B-,B,,B+,B,B
3rd Street Elementary School,7980,Laurene,Filmer,Female,934367409,1,0,R1,G,S,G,S,G,G,C,C-,B-,B-,,,,,B-,B-,B-,B,B-,B-,53,54,B-,C+,B+,B+,,B-,B-
3rd Street Elementary School,7980,Gunter,Waslin,Male,933929356,3,0,R1,S,G,S,G,S,S,C+,C,C,C,,,,,B-,C+,,C,C+,C,55,72,C,C+,B-,B-,C+,B-,C+
3rd Street Elementary School,7980,Ashton,Esposita,Male,261770985,3,0,R1,E,E,G,E,E,E,A-,B,B,B+,,,,,B,A,,B,B+,B+,82,96,B+,A-,B,,A-,B,A-
3rd Street Elementary School,7980,Aileen,Worthy,Female,599604297,5,0,R1,E,E,E,E,E,E,A-,B+,A-,A-,A-,A-,A-,,A-,A-,A-,A-,A-,A-,39,69,A-,A-,A,,B+,B,B+
3rd Street Elementary School,7980,Arty,Bebb,Male,717074519,2,0,R1,G,G,S,S,S,G,B,C-,B,B+,,,,,A,C+,B+,A-,B,C,56,75,C,C,C+,,C+,B,B
3rd Street Elementary School,7980,Kincaid,Shearer,Male,768531827,6,0,R1,E,E,G,E,G,E,B,A-,B+,A,A+,C+,B+,B+,A+,A,,A-,A,A,99,43,A,A,A-,A-,,A-,A
3rd Street Elementary School,7980,Gae,Goudy,Female,499201344,3,0,R1,E,G,G,E,G,E,B,B,B,B,,,,,B-,B+,,B-,B,B,60,73,B+,A-,B+,,A-,B+,A-
3rd Street Elementary School,7980,Lukas,Jannasch,Male,398685729,6,0,R1,S,S,G,S,G,G,C,C+,B,C+,C,B-,B-,B,C-,C-,,C-,C-,D+,60,45,C,C-,C,C,,C,C+
3rd Street Elementary School,7980,Joe,Causon,Male,821835603,5,0,R1,E,E,G,G,S,S,B+,B,B,B,I,C-,C,,B+,B-,,C+,B-,B+,96,40,B-,B,B-,,B-,C+,C
3rd Street Elementary School,7980,Celestia,Ruxton,Female,605996969,3,0,R1,G,S,S,G,S,S,C+,C,B-,B+,,,,,C,C+,,C,C+,C,84,82,C+,B,B-,B,B,B,B
3rd Street Elementary School,7980,Sayre,Parcall,Male,384814665,1,0,R1,G,G,G,G,G,G,D,C-,C,C+,,,,,C-,C+,C+,B,C,B-,90,59,B-,B,A,A-,,B-,B-
3rd Street Elementary School,7980,Hercules,Roebottom,Male,174030665,7,0,R1,G,G,G,G,G,G,68,68,65,65,56,65,62,58,73,68,,82,78,63,46,94,,73,85,,75,75,68
3rd Street Elementary School,7980,Brennen,Babbidge,Male,602632878,1,0,R1,N,N,N,N,S,N,C,C,C+,B,,,,,B+,A-,B-,A,B-,B-,67,62,B,B-,C+,,B-,B,B
3rd Street Elementary School,7980,Nigel,Pipworth,Male,429812036,6,0,R1,E,G,G,G,G,E,B,B+,B+,B+,A+,B-,A-,B-,B,B+,,A-,A,A-,65,86,A-,B,B,A-,,B+,A-
3rd Street Elementary School,7980,Prudi,Heers,Female,429977758,7,0,R1,G,S,S,G,G,S,68,68,78,80,60,62,70,62,68,58,,60,60,62,40,100,,70,80,,70,65,85
3rd Street Elementary School,7980,Jule,Adlard,Male,180125048,3,0,R1,N,S,S,N,N,N,B+,C,C,B-,,,,,B,C,,B-,C+,C+,77,77,B-,C-,D,,B,C,C
3rd Street Elementary School,7980,Gardiner,Shills,Male,986069147,3,0,R1,S,S,S,S,S,S,R,D,C,C,,,,,C-,C-,,C,C,C,43,94,C,B-,C,,B-,B-,B
3rd Street Elementary School,7980,Maryjane,Kulvear,Female,296627792,3,0,R1,G,G,S,G,G,G,,,,,,,,,,,,,,,57,75,,I,,,I,,
3rd Street Elementary School,7980,Adrien,Cisec,Male,987111660,7,0,R1,E,E,G,E,G,E,85,78,85,82,76,70,89,80,90,75,,90,I,82,92,70,,I,75,,80,72,82
3rd Street Elementary School,7980,Robin,Casoni,Female,227684824,8,0,R1,S,S,G,S,G,S,73,68,65,63,56,55,65,60,78,85,,75,86,75,40,90,,68,75,,75,70,73
3rd Street Elementary School,7980,Winonah,Rigbye,Female,215603218,3,0,R1,G,G,E,G,G,G,B+,B+,B,B+,,,,,A-,A,,B+,B+,B+,86,55,B,A-,B,,B+,B,B+
3rd Street Elementary School,7980,Dwight,Redbourn,Male,582849662,1,0,R1,N,N,N,S,N,N,D,R,C,C,,,,,C,C,C,B,,I,64,97,I,C-,I,,B-,B,B-
3rd Street Elementary School,7980,Pamela,Hullah,Female,313794125,6,0,R1,E,E,G,E,G,E,A-,A-,B+,B-,A,B,A,B+,A,A,,A+,A,A,57,41,A,B-,B-,A-,,B,A
3rd Street Elementary School,7980,Orren,Iacavone,Male,937228997,1,0,R1,E,E,E,E,E,E,B+,B,B,B+,,,,,A,A-,B-,A,B-,B+,52,44,B,B-,B+,,C+,B+,B+
3rd Street Elementary School,7980,Sloane,Cowthard,Male,379674430,1,0,R1,E,G,S,G,G,G,B,B+,B-,B,,,,,B,B+,A,B-,B-,B+,74,74,B,B,B,,C+,B,B
3rd Street Elementary School,7980,Hanson,Rowet,Male,310138295,3,0,R1,S,S,S,S,N,S,B+,B-,B-,B-,,,,,B,B-,,C,B-,C+,55,70,C,B-,B,,B+,B-,B-
3rd Street Elementary School,7980,Gage,Crellim,Male,116893856,1,0,R1,G,S,S,G,G,G,D+,C-,C,C,,,,,C,C,C,B-,C+,B-,89,65,C+,B,A-,A-,,C+,C+
3rd Street Elementary School,7980,Felicdad,McMahon,Female,642084107,2,0,R1,G,G,G,G,E,G,B,C,B,B,,,,,B,B,B,B,,B+,64,71,B,B-,B,,B+,B,B
3rd Street Elementary School,7980,Xenos,Melchior,Male,471652479,3,0,R1,G,G,S,G,G,E,B-,B-,C+,C+,,,,,B-,C+,,C,B-,C+,84,85,C+,B,B-,B,C+,B,B-
3rd Street Elementary School,7980,Boonie,O'Fihily,Male,674273888,4,0,R1,N,N,N,N,N,N,D-,C-,D-,C-,B-,B,,,C-,C,,C-,C-,C-,53,91,C+,C+,C+,,B-,B-,C
3rd Street Elementary School,7980,Olive,Doag,Female,681062191,2,0,R1,G,G,S,E,E,E,D,D,C,C,,,,,C,C,C,C,,B,94,42,C,C+,C+,,B,B,C+
3rd Street Elementary School,7980,Pattie,Warters,Male,186412258,3,0,R1,E,E,E,G,E,G,A-,A-,A-,A-,,,,,A,A,,A,A,A-,81,43,B+,B,B+,B+,B+,A-,B+
3rd Street Elementary School,7980,Jeane,Yeld,Female,151660592,8,0,R1,E,G,E,G,E,G,73,78,73,65,80,74,75,78,82,73,,85,78,75,94,51,,75,78,,78,62,73
3rd Street Elementary School,7980,Daven,Adcocks,Male,830482663,6,0,R1,E,G,G,S,G,E,C+,B-,B+,B-,B,B,B+,B-,B-,B-,,B,A,B+,40,94,B,C,B-,A-,,B+,B+
3rd Street Elementary School,7980,Peria,Erik,Female,362880704,8,0,R1,G,G,G,G,G,S,80,70,70,89,74,70,60,61,50,,53,72,75,63,39,56,,80,85,,80,70,83
3rd Street Elementary School,7980,Edyth,Thorington,Female,137758932,3,0,R1,G,E,G,E,E,E,B+,B,B+,B,,,,,B-,B-,,B-,B+,B+,57,95,B-,B,B+,B+,B,A-,B+
3rd Street Elementary School,7980,Julianne,Warin,Female,710526859,7,0,R1,E,G,S,E,E,G,72,70,78,80,72,68,70,76,67,58,,78,75,75,45,74,,70,70,,70,60,80
3rd Street Elementary School,7980,Berny,Bostick,Female,603965821,5,0,R1,E,E,E,E,E,E,B+,B+,B+,B+,A-,A-,A-,,B,B-,B,B,B,B+,99,54,B+,B+,A-,,B+,B,B+
3rd Street Elementary School,7980,Sampson,Loveman,Male,574399096,7,0,R1,G,G,S,G,G,G,75,75,80,82,55,60,70,I,70,60,,75,72,78,97,51,,80,60,,75,I,75
3rd Street Elementary School,7980,Klemens,Dunmore,Male,713364350,5,0,R1,G,S,G,G,G,G,D-,D-,C-,C,B+,B+,D,,D-,D-,D,D,D-,C-,98,66,C-,C,C+,,C-,B-,C+
3rd Street Elementary School,7980,Bronson,Heaseman,Male,474425392,4,0,R1,G,E,E,G,G,G,B-,B,B-,C-,C,B,,,B+,C+,,A-,B+,C,39,76,B,B,A-,,B,B,B
3rd Street Elementary School,7980,Astrix,Tunesi,Female,931866642,4,0,R1,E,E,G,E,G,E,A,B,A-,B-,A-,B+,,,B+,B+,,A,A-,A-,93,82,A-,A,A,,B,B,B-
3rd Street Elementary School,7980,Clemence,McGuffie,Female,388126925,7,0,R1,E,E,E,E,E,E,85,78,75,75,74,75,80,73,75,82,,82,85,82,99,59,,78,78,,78,82,68
3rd Street Elementary School,7980,Noach,Johnke,Male,382078831,8,0,R1,G,G,G,G,G,G,88,79,65,89,84,70,65,79,73,,85,85,79,70,84,59,,75,70,,75,75,83
3rd Street Elementary School,7980,Silvester,Legh,Male,366539620,6,0,R1,E,G,G,G,G,G,B-,B,B+,B,B-,B,B,B+,C+,B+,,B,B-,B+,40,51,B,B-,B,,B,B,B+
3rd Street Elementary School,7980,Dallis,Bramelt,Male,661771704,8,0,R1,G,G,E,G,G,G,76,73,72,66,73,80,60,61,85,,90,77,83,57,99,43,,75,85,,80,70,68
3rd Street Elementary School,7980,Thatch,Mulford,Male,499146770,2,0,R1,S,G,G,G,G,N,A,B+,B-,A-,,,,,A,A-,,B+,A-,A,64,68,A-,A-,B-,,B-,B+,B
3rd Street Elementary School,7980,Caleb,Mateuszczyk,Male,501483291,7,0,R1,S,S,N,S,N,N,65,62,70,72,55,60,I,I,60,58,,I,62,70,40,48,,62,75,,,I,70
3rd Street Elementary School,7980,Marlyn,Lahive,Female,822926984,3,0,R1,S,S,S,S,S,S,C+,C,C+,C,,,,,C+,C-,,C+,C+,C+,88,69,C+,B-,B,B,C+,B,B
3rd Street Elementary School,7980,Jyoti,Leatherland,Female,300664984,3,0,R1,E,E,G,E,E,G,A-,A,A-,A-,,,,,A,A,,A-,A,B+,69,67,B+,B,B+,B,B+,B+,A
3rd Street Elementary School,7980,Nathanial,Loseby,Male,478723375,3,0,R1,G,G,G,G,G,G,A-,A-,B,A-,,,,,A-,A-,,B+,A-,B,84,83,B+,B,B-,B,B+,B+,B+
3rd Street Elementary School,7980,Millisent,Alelsandrovich,Female,732931898,5,0,R1,G,E,E,E,G,G,B+,B+,B+,B+,A-,A-,B,,B+,B+,A-,A-,A-,A-,48,82,A-,B-,A-,,B+,A-,B
3rd Street Elementary School,7980,Daryn,Chisholme,Female,540375443,4,0,R1,S,G,G,S,G,S,C,C+,B-,D-,B-,D+,,,C,D-,,C-,D-,C,80,58,B,B,A-,,C+,B-,C+
3rd Street Elementary School,7980,Randie,Caudwell,Female,253164406,7,0,R1,G,G,G,E,G,G,85,73,68,73,70,70,70,72,82,82,,73,78,68,53,70,,73,78,,75,70,68
3rd Street Elementary School,7980,Garrick,Pacht,Male,369552751,3,0,R1,S,S,S,G,S,N,B,B,C+,B+,,,,,B,C+,,C-,B+,D+,59,47,C-,B+,C+,,B+,B-,B+
3rd Street Elementary School,7980,Jewelle,Rubinovici,Female,156470217,4,0,R1,S,G,N,S,S,S,C-,C,C,C,B+,A-,,,C-,B-,,B-,B+,B-,83,44,B+,C+,B+,,B-,B+,C+
3rd Street Elementary School,7980,Rodi,Stoute,Female,582715167,6,0,R1,S,S,N,S,S,S,C,C+,B-,C,C-,D+,D+,D+,D+,D-,,C,D,C,81,81,C+,C-,B,B+,,B-,B-
3rd Street Elementary School,7980,Berny,Poser,Male,210143365,8,0,R1,E,E,E,G,G,E,73,76,65,68,60,65,61,76,75,68,,68,68,73,64,58,,75,82,,75,70,78
3rd Street Elementary School,7980,Jakob,Petracco,Male,592229144,1,0,R1,S,N,N,N,S,N,D-,D-,D-,D,,,,,D-,D-,C-,D-,D-,C,97,50,B,D-,C+,,D-,B,C
3rd Street Elementary School,7980,Gauthier,Matovic,Male,604830461,8,0,R1,G,G,G,G,G,E,68,83,73,73,52,58,55,65,68,68,,68,73,82,62,75,,75,78,,75,70,75
3rd Street Elementary School,7980,Brodie,Gealle,Male,455411970,1,0,R1,N,N,S,N,S,N,D-,D-,C,C-,,,,,D,C,C,C,,C,92,53,D,D-,C,,C,C+,B-
3rd Street Elementary School,7980,Hersh,Petrishchev,Male,450163682,3,0,R1,S,N,S,S,N,N,D,C,C,C,,,,,C+,C+,,C,B-,C,79,89,B-,D-,C,,C+,C+,B
3rd Street Elementary School,7980,Andie,Kimbrough,Male,742090367,2,0,R1,E,G,G,E,G,E,C,C,C,B,,,,,C,B,B,B,,C,72,76,B,B+,B,,B,B,B
3rd Street Elementary School,7980,Mildred,De Pero,Female,609807216,4,0,R1,,,,,,,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,48,95,ALT,ALT,ALT,ALT,ALT,ALT,ALT
3rd Street Elementary School,7980,Albert,Crimmins,Male,481781148,1,0,R1,N,N,N,N,S,N,D-,D-,D-,D-,,,,,D-,D-,D,D,D-,D,58,96,D-,D-,D,C,,D,D
3rd Street Elementary School,7980,Lamar,Mebs,Male,717762309,7,0,R1,G,G,G,G,E,E,80,75,85,85,84,80,83,82,87,78,,82,92,88,73,47,,80,95,,80,70,85
3rd Street Elementary School,7980,Foss,Grocutt,Male,283293823,1,0,R1,G,G,E,S,E,G,B,C,A,B,,,,,B,B,A,B,,B,100,67,B,B+,B,,B-,B,B
3rd Street Elementary School,7980,Malia,Larvin,Female,410610664,3,0,R1,G,G,S,G,G,S,A-,A-,C+,B-,,,,,A,B-,,A-,B+,B-,77,87,B-,A-,B,,B+,B+,B
3rd Street Elementary School,7980,Wallache,Grievson,Male,409600568,1,0,R1,G,S,S,G,G,G,D,D,C,C+,,,,,B-,B+,C-,B,C,B,76,75,C,C,B,,C-,B,B
3rd Street Elementary School,7980,Urson,Bernolet,Male,181724601,4,0,R1,E,E,G,G,G,E,B,B,B+,B-,B+,B,,,B+,A-,,B+,B,A-,100,89,A-,B+,A-,,B,B,B-
3rd Street Elementary School,7980,Bevvy,De Winton,Female,550015485,4,0,R1,,,,,,,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,ALT,92,86,ALT,ALT,ALT,ALT,ALT,ALT,ALT
3rd Street Elementary School,7980,Cass,Dightham,Male,363897243,2,0,R1,G,G,G,G,S,N,C,C,B,B,,,,,C,A,B,B,,B,68,46,B,A-,B,,A-,B,B
3rd Street Elementary School,7980,Hulda,McKniely,Female,556077425,3,0,R1,G,S,G,S,G,G,R,C-,B,C+,,,,,C,D,,C,C,C+,82,64,B-,A-,B+,,C+,B+,B
3rd Street Elementary School,7980,Willem,Kahane,Male,358535307,5,0,R1,S,S,S,S,S,S,D,C-,C,C+,A-,A-,C-,,D-,C-,C+,C-,C+,C+,88,56,C+,D+,C-,,B,B-,C
3rd Street Elementary School,7980,Mirabel,Lampitt,Female,247878011,7,0,R1,S,S,N,S,S,N,60,60,70,80,68,69,70,72,60,72,,60,60,75,61,71,,75,75,,78,60,65
3rd Street Elementary School,7980,Marcos,Alldritt,Male,860080935,2,0,R1,E,E,E,E,E,G,B+,A,A,A+,,,,,A+,A+,A+,A+,A,B+,88,79,B+,B-,B-,,B,B,B+
3rd Street Elementary School,7980,Hedwig,Dows,Female,566673486,6,0,R1,E,E,E,E,G,E,A-,A,B+,A,A,B-,A-,B-,A+,A,,A,A+,A-,93,76,A-,A,B,A-,,B+,A
3rd Street Elementary School,7980,Marlene,McSperron,Female,982582920,2,0,R1,E,E,G,G,E,G,A-,B+,A,A-,,,,,A,A,,A-,A,A+,55,48,A,A-,A+,,A-,B,B
3rd Street Elementary School,7980,Kesley,Sabine,Female,479396829,2,0,R1,S,G,S,S,G,G,C,C-,B-,B,,,,,A-,B,A,B+,A,B,94,44,A+,D+,C-,,C+,B,B
3rd Street Elementary School,7980,Elnore,Martell,Female,257298650,8,0,R1,S,S,S,S,S,S,63,58,53,I,I,I,I,I,68,I,,63,I,68,45,44,,68,68,,68,67,I
3rd Street Elementary School,7980,Donni,Ounsworth,Female,266313095,6,0,R1,G,G,S,S,G,G,B-,C+,B+,C-,C+,C+,B-,C-,C+,B-,,C-,C,B,53,63,A,C-,B,A,,B+,C+
3rd Street Elementary School,7980,Jeni,Brothwood,Female,745795690,5,0,R1,E,E,E,E,E,E,A-,B+,A-,A-,A-,A-,A-,,A,A,A,A-,A,A-,61,93,A-,B+,A,,A-,A-,B+
3rd Street Elementary School,7980,Melanie,Corson,Female,477956906,4,0,R1,S,S,G,S,S,S,A-,B,B+,B-,A-,A-,,,B,A-,,B+,A-,B,63,52,A-,B+,B+,,B-,B+,B-
3rd Street Elementary School,7980,Chalmers,Di Domenico,Male,534279732,8,0,R1,E,E,E,E,G,G,88,86,67,89,88,70,56,74,89,,95,83,84,85,58,91,,80,65,,I,88,83
3rd Street Elementary School,7980,Geralda,Low,Female,607605656,1,0,R1,G,G,S,G,S,S,B-,C,B-,B-,,,,,B-,B-,B,B,B-,B-,70,87,B,B-,B+,A-,,B,B-
3rd Street Elementary School,7980,Addy,Banstead,Male,528794235,6,0,R1,N,S,G,S,N,N,B-,B-,C+,B-,C,I,C-,B-,B,B-,,B-,B-,C+,45,50,B,C-,B,,B,C,B+
3rd Street Elementary School,7980,Ingar,Lovejoy,Male,254487445,3,0,R1,,,,,,,,,,,,,,,,,,,,,65,94,,,,,,,
3rd Street Elementary School,7980,Lilly,McKeady,Female,603765111,2,0,R1,S,G,S,S,S,G,C+,B-,B,A-,,,,,A-,A,A+,B+,B,B,56,81,A+,B-,B,,C+,B,B
3rd Street Elementary School,7980,Marsha,O'Geaney,Female,773093843,5,0,R1,E,E,E,E,E,E,A-,B+,A-,A-,B+,A-,B+,,A-,A-,A-,A-,A-,A-,100,39,A-,B+,A-,,A-,B+,B
3rd Street Elementary School,7980,Koo,Batcheldor,Female,474448390,4,0,R1,E,E,E,E,E,E,A-,A-,A-,B-,A-,A-,,,A,A-,,A-,A+,A-,89,87,A+,A,A,,A-,B+,B+
Bashford Public School,4447,Blinny,Goncaves,Female,224166156,6,0,R1,E,E,E,E,E,E,A-,A,A,A,A+,A-,A,A-,A,A,,A-,A-,A-,91,80,A-,A-,B+,A-,,B+,A
Bashford Public School,4447,Christoper,Whatley,Male,688404305,4,0,R1,S,N,N,N,N,N,C,C,C,D,C+,C-,,,C-,C,,C+,C+,C-,76,100,B,C+,C+,,C+,B-,C+
Bashford Public School,4447,Hollis,Hackworthy,Male,390798387,6,0,R1,G,G,G,G,G,S,B,B,B+,B,A,A-,B-,B,A,A-,,A-,A,B+,39,54,A-,A-,B+,A-,,B+,B
Bashford Public School,4447,Audi,Lombard,Female,539540623,6,0,R1,E,E,G,G,E,E,B,B+,B+,A-,B,C,B+,B-,B+,A,,B+,B,B,57,93,A-,B-,B-,,B,B,B
Bashford Public School,4447,Yasmeen,McKeighen,Female,653523683,2,0,R1,S,N,S,G,S,N,D,D,B,C,,,,,C,C,C,C,,C,55,79,C,C,B,,B,B,B
Bashford Public School,4447,Sara-ann,Cristofor,Female,331518125,3,0,R1,G,G,S,S,G,S,B-,B,B,B,,,,,B-,C+,,C-,B,B-,41,96,B-,B,B,B,B,B+,B
